trainerID;trainername;wins;Combat Power Sum;pok0_id;pok0_type1;pok0_type2;pok0_cp;pok0_modcp;pok0_speed;pok0_isaccess;pok1_id;pok1_type1;pok1_type2;pok1_cp;pok1_modcp;pok1_speed;pok1_isaccess;pok2_id;pok2_type1;pok2_type2;pok2_cp;pok2_modcp;pok2_speed;pok2_isaccess;pok3_id;pok3_type1;pok3_type2;pok3_cp;pok3_modcp;pok3_speed;pok3_isaccess;pok4_id;pok4_type1;pok4_type2;pok4_cp;pok4_modcp;pok4_speed;pok4_isaccess;pok5_id;pok5_type1;pok5_type2;pok5_cp;pok5_modcp;pok5_speed;pok5_isaccess;pok6_isaccess;pok7_isaccess;pok8_isaccess;pok9_isaccess
11073;Three Brothers  Aric;8;9429.0;27147.0;Fighting;None;1434.0;1434.0;83.0;True;27148.0;Fighting;None;1494.0;1494.0;58.0;True;27149.0;Grass;Grass;1599.0;1599.0;73.0;True;27150.0;Rock;None;1704.0;1704.0;53.0;True;27151.0;Ground;Dragon;1599.0;1599.0;93.0;True;27152.0;Grass;Flying;1599.0;1599.0;103.0;True;;False;;
11098;Traveling Girl  Kaila;10;10209.0;27216.0;Ice;Flying;1569.0;1569.0;98.0;True;27217.0;Rock;None;1704.0;1704.0;53.0;True;27218.0;None;None;1674.0;1674.0;68.0;True;27219.0;Ground;Rock;1614.0;1614.0;48.0;True;27220.0;Bug;Flying;1764.0;1764.0;93.0;True;27221.0;Normal;Fairy;1884.0;1884.0;68.0;True;False;;;
9249;Rich Boy Basto;14;11349.0;22586.0;Water;None;2019.0;2019.0;68.0;True;22587.0;Water;Fairy;1839.0;1839.0;73.0;True;22588.0;None;None;1929.0;1929.0;91.0;True;22589.0;Water;Poison;2124.0;2124.0;123.0;True;22590.0;Water;None;1569.0;1569.0;120.0;True;22591.0;Water;Poison;1869.0;1869.0;108.0;True;;False;;
9933;Researcher Limar;14;10950.0;24490.0;Bug;Ghost;1287.0;1287.0;63.0;True;24491.0;Normal;None;1443.0;1443.0;71.0;True;24492.0;None;None;2028.0;2028.0;90.0;True;24493.0;Dragon;Flying;2049.0;2049.0;103.0;True;24494.0;Rock;Water;2064.0;2064.0;103.0;True;24495.0;Fire;None;2079.0;2079.0;128.0;True;False;;False;
4391;Athlete♀ Mazzel;15;11454.0;10801.0;Fire;None;1794.0;1794.0;103.0;True;10802.0;Ice;Water;1809.0;1809.0;68.0;True;10803.0;Psychic;Psychic;1944.0;1944.0;108.0;True;10804.0;Normal;None;2049.0;2049.0;123.0;True;10805.0;Rock;Ground;2064.0;2064.0;68.0;True;10806.0;Grass;None;1794.0;1794.0;83.0;True;False;False;False;
3011;Medium;15;12129.0;7194.0;Water;Ice;2184.0;2184.0;83.0;True;7195.0;Fire;None;2064.0;2064.0;116.0;True;7196.0;Poison;Poison;2079.0;2079.0;133.0;True;7197.0;Poison;Flying;1944.0;1944.0;113.0;True;7198.0;Normal;None;1734.0;1734.0;53.0;True;7199.0;Water;Poison;2124.0;2124.0;123.0;True;False;;False;
5341;Bodybuilder♀ Eldora;16;12684.0;12987.0;Water;None;2319.0;2319.0;108.0;True;12988.0;Electric;None;2109.0;2109.0;78.0;True;12989.0;Psychic;Psychic;2079.0;2079.0;98.0;True;12990.0;Normal;None;1974.0;1974.0;108.0;True;12991.0;Normal;None;2124.0;2124.0;83.0;True;12992.0;Ground;None;2079.0;2079.0;73.0;True;False;False;False;False
11860;random_trainer;16;11841.42;28804.0;Ground;None;2079.0;2079.0;73.0;True;28805.0;Water;None;2154.0;2154.0;88.0;True;28806.0;Water;Water;2064.0;2064.0;78.0;True;28807.0;Electric;None;2286.42;2286.42;135.0;True;28808.0;Electric;None;1794.0;1794.0;118.0;True;28809.0;Electric;None;1464.0;1464.0;88.0;True;False;;False;
5837;Medium;17;12129.0;14267.0;Water;Ice;2184.0;2184.0;83.0;True;14268.0;Fire;None;2064.0;2064.0;116.0;True;14269.0;Poison;Poison;2079.0;2079.0;133.0;True;14270.0;Poison;Flying;1944.0;1944.0;113.0;True;14271.0;Normal;None;1734.0;1734.0;53.0;True;14272.0;Water;Poison;2124.0;2124.0;123.0;True;False;;False;
10230;St.Performer Volivia;18;12237.0;25305.0;Bug;Fighting;2079.0;2079.0;108.0;True;25306.0;Normal;Flying;1869.0;1869.0;148.0;True;25307.0;None;None;2199.0;2199.0;104.0;True;25308.0;Bug;Flying;1947.0;1947.0;183.0;True;25309.0;Poison;None;2049.0;2049.0;83.0;True;25310.0;Fire;None;2094.0;2094.0;123.0;True;;;;
7378;Hunter♂ Parel;18;12579.0;18323.0;Water;Ground;2184.0;2184.0;83.0;True;18324.0;Psychic;None;2079.0;2079.0;143.0;True;18325.0;Grass;Grass;2019.0;2019.0;93.0;True;18326.0;Ice;Water;2169.0;2169.0;88.0;True;18327.0;Water;None;2079.0;2079.0;108.0;True;18328.0;Normal;None;2049.0;2049.0;91.0;True;;False;;False
5340;Bodybuilder♂ Chiod;19;12444.0;12981.0;Fire;Fighting;2169.0;2169.0;103.0;True;12982.0;Water;None;2079.0;2079.0;83.0;True;12983.0;None;None;2109.0;2109.0;78.0;True;12984.0;Rock;Ground;2064.0;2064.0;68.0;True;12985.0;Grass;None;2049.0;2049.0;73.0;True;12986.0;Steel;Flying;1974.0;1974.0;93.0;True;False;False;False;
11039;Team Snagem Biden;19;12282.0;27049.0;Electric;None;2154.0;2154.0;153.0;True;27050.0;Poison;None;2049.0;2049.0;83.0;True;27051.0;Fire;Fire;2079.0;2079.0;118.0;True;27052.0;Bug;Flying;1947.0;1947.0;183.0;True;27053.0;Steel;Ground;2109.0;2109.0;53.0;True;27054.0;Fighting;None;1944.0;1944.0;110.0;True;False;False;False;False
11852;Youngster Jonathan;21;11889.0;28763.0;Dark;Fire;2079.0;2079.0;118.0;True;28764.0;Grass;Poison;1794.0;1794.0;83.0;True;28765.0;Fire;Fire;1569.0;1569.0;88.0;True;28766.0;Grass;None;2154.0;2154.0;103.0;True;28767.0;Grass;Psychic;2139.0;2139.0;78.0;True;28768.0;Grass;Poison;2154.0;2154.0;103.0;True;False;;;
11048;Team Snagem Wakin;22;12573.0;27093.0;Water;Ground;2184.0;2184.0;83.0;True;27094.0;Fire;Fighting;2169.0;2169.0;103.0;True;27095.0;None;None;2169.0;2169.0;143.0;True;27096.0;Psychic;Fairy;2133.0;2133.0;103.0;True;27097.0;Normal;Flying;1869.0;1869.0;148.0;True;27098.0;Grass;Poison;2049.0;2049.0;73.0;True;;;;
3120;Cipher Admin Eldes;22;13464.0;7609.0;Dragon;Psychic;2379.0;2379.0;133.0;True;7610.0;Dragon;Psychic;2379.0;2379.0;133.0;True;7611.0;Poison;Poison;2079.0;2079.0;133.0;True;7612.0;Steel;Psychic;2379.0;2379.0;93.0;True;7613.0;Normal;None;2199.0;2199.0;53.0;True;7614.0;Normal;None;2049.0;2049.0;133.0;True;;False;;False
11861;stat_trainer;24;12790.92;28810.0;Water;Ice;2315.04;2315.04;96.0;True;28815.0;Dragon;Flying;2379.0;2379.0;123.0;True;28812.0;Flying;Flying;2435.88;2435.88;130.0;True;28811.0;Ground;Rock;1614.0;1614.0;48.0;True;28813.0;Electric;None;1668.0;1668.0;83.0;True;28814.0;Psychic;None;2379.0;2379.0;108.0;True;;False;;False
4902;Biker Dillon;25;13154.0;11940.0;Poison;None;2205.84;2205.84;86.0;True;11941.0;Water;Ice;2230.74;2230.74;94.0;True;11942.0;Ground;Ground;2265.12;2265.12;54.0;True;11943.0;Ground;Rock;2184.0;2184.0;65.0;True;11944.0;Grass;Poison;2315.04;2315.04;106.0;True;11945.0;Poison;None;1955.34;1955.34;104.0;True;;False;;False
10819;Tamer;26;13397.0;26657.0;Normal;None;2120.58;2120.58;135.0;True;26658.0;Normal;None;2199.0;2199.0;53.0;True;26659.0;None;None;2230.8;2230.8;132.0;True;26660.0;Normal;None;2283.24;2283.24;119.0;True;26661.0;Fire;None;2411.76;2411.76;122.0;True;26662.0;Water;None;2154.0;2154.0;88.0;True;;False;;False
1308;Cooltrainer♂ Desid;27;13584.0;3069.0;Water;None;2319.0;2319.0;108.0;True;3070.0;Electric;None;2319.0;2319.0;138.0;True;3071.0;None;None;2319.0;2319.0;123.0;True;3072.0;Steel;Rock;2169.0;2169.0;73.0;True;3073.0;Ground;None;2079.0;2079.0;73.0;True;3074.0;Dragon;Flying;2379.0;2379.0;123.0;True;False;;;
