"county","party","candidate","votes","home_ownership"
Logan,Republican,Ted Cruz,2361,69.0
Mercer,Democrat,Bernie Sanders,1331,74.9
Jersey,Republican,Donald Trump,1902,79.9
Bullitt,Democrat,Bernie Sanders,3210,82.2
Pulaski,Republican,Donald Trump,436,78.1
Kankakee,Republican,Donald Trump,6403,68.9
Okfuskee,Democrat,Bernie Sanders,596,73.6
Rock Island,Democrat,Hillary Clinton,10216,70.2
Bureau,Republican,Donald Trump,2185,75.7
Salt Lake,Democrat,Bernie Sanders,35610,67.3
Crenshaw,Republican,Donald Trump,1496,69.9
Washington,Republican,Donald Trump,1666,76.3
Crawford,Republican,Donald Trump,1508,79.9
Branch,Republican,Donald Trump,2455,78.0
Hamilton,Republican,Donald Trump,766,76.7
Greene,Democrat,Hillary Clinton,1643,69.6
Fresno,Republican,Donald Trump,37672,53.8
Chickasaw,Democrat,Hillary Clinton,360,80.1
Gentry,Republican,Donald Trump,435,72.2
Walton,Republican,Donald Trump,7910,75.1
Brevard,Republican,Donald Trump,45483,73.5
Summit,Democrat,Bernie Sanders,419,65.9
Mississippi,Republican,Donald Trump,970,63.9
Jennings,Republican,Donald Trump,3361,75.9
Garfield,Democrat,Bernie Sanders,734,64.8
Appling,Republican,Donald Trump,1290,69.6
Crisp,Republican,Donald Trump,1204,59.8
Missoula,Democrat,Bernie Sanders,13271,58.8
Twin Falls,Republican,Ted Cruz,4717,66.8
Pike,Democrat,Bernie Sanders,4848,73.1
Guthrie,Democrat,Hillary Clinton,220,80.4
Warren,Democrat,Hillary Clinton,2827,70.6
Trimble,Democrat,Bernie Sanders,542,77.1
Van Buren,Republican,Donald Trump,1198,78.1
Crook,Democrat,Bernie Sanders,1,77.4
Fannin,Republican,Donald Trump,3001,78.2
Lexington,Democrat,Hillary Clinton,402,55.5
Madison,Democrat,Bernie Sanders,4385,60.5
Hertford,Democrat,Hillary Clinton,2926,63.1
Yuma,Democrat,Hillary Clinton,45,67.4
Pasco,Republican,Donald Trump,33536,76.5
Washington,Republican,Donald Trump,11970,64.9
Whitfield,Republican,Donald Trump,5945,65.7
Davidson,Democrat,Hillary Clinton,43691,54.7
Anson,Democrat,Hillary Clinton,2307,68.6
Phelps,Republican,Donald Trump,3425,61.3
Lauderdale,Republican,Donald Trump,7502,69.9
Charlton,Republican,Donald Trump,602,77.9
Mobile,Democrat,Hillary Clinton,28927,66.6
Alamosa,Democrat,Bernie Sanders,167,61.5
Bossier,Republican,Ted Cruz,4988,67.0
Clay,Republican,Donald Trump,3615,76.2
Lawrence,Democrat,Hillary Clinton,933,70.7
Seminole,Republican,Donald Trump,25763,70.5
Garrard,Republican,Donald Trump,581,79.0
Sublette,Democrat,Bernie Sanders,3,74.4
Fairfax City,Democrat,Hillary Clinton,1840,68.4
Muscogee,Democrat,Hillary Clinton,12801,52.6
Calhoun,Democrat,Bernie Sanders,803,79.4
Champaign,Democrat,Bernie Sanders,20581,54.9
Todd,Democrat,Bernie Sanders,507,72.6
Ozark,Republican,Donald Trump,1099,79.1
Loudoun,Democrat,Hillary Clinton,21171,77.7
Washington,Democrat,Hillary Clinton,1374,72.3
Madison,Republican,Donald Trump,2460,73.3
Grant,Democrat,Hillary Clinton,2272,76.9
St. Landry,Democrat,Hillary Clinton,4606,70.0
Saline,Republican,Ted Cruz,7507,77.7
Somerset,Democrat,Hillary Clinton,19667,78.0
Ohio,Democrat,Bernie Sanders,943,80.8
Southampton,Democrat,Hillary Clinton,1199,71.8
Prentiss,Republican,Donald Trump,1597,72.8
Clayton,Democrat,Hillary Clinton,25130,55.3
Cuming,Republican,Donald Trump,783,70.6
St. Clair,Republican,Donald Trump,962,77.6
Calhoun,Democrat,Bernie Sanders,545,79.0
Mayes,Democrat,Bernie Sanders,2144,75.2
Sioux,Republican,Ted Cruz,1524,80.0
Sumter,Republican,Donald Trump,17769,90.2
Brown,Republican,Donald Trump,2202,83.0
Sauk,Democrat,Bernie Sanders,7195,70.1
Taylor,Republican,Donald Trump,550,69.3
Montgomery,Democrat,Hillary Clinton,953,74.5
DuPage,Democrat,Bernie Sanders,65159,74.4
Washington,Republican,Donald Trump,1370,80.6
Mason,Republican,Donald Trump,1785,74.1
Independence,Republican,Donald Trump,2077,70.6
Richmond,Democrat,Hillary Clinton,333,74.9
Schenectady,Democrat,Bernie Sanders,6862,67.2
Middlesex,Democrat,Hillary Clinton,47978,66.2
Dougherty,Democrat,Hillary Clinton,8891,47.3
Brooklyn,Democrat,Hillary Clinton,174236,29.8
Shelby,Republican,Donald Trump,18260,79.0
Elmore,Republican,Donald Trump,8525,75.5
Burt,Republican,Donald Trump,603,76.6
East Carroll,Democrat,Hillary Clinton,508,56.2
West Feliciana,Democrat,Hillary Clinton,902,73.7
Crockett,Democrat,Hillary Clinton,266,69.2
Bond,Republican,Donald Trump,1102,74.7
Fayette,Republican,Donald Trump,2479,74.9
Dunn,Democrat,Bernie Sanders,4272,68.1
Manistee,Democrat,Bernie Sanders,1646,79.1
Macon,Republican,Donald Trump,6655,69.2
DeKalb,Democrat,Bernie Sanders,8315,60.2
Wayne,Democrat,Bernie Sanders,2898,78.0
Henderson,Democrat,Hillary Clinton,2887,68.0
Gasconade,Republican,Donald Trump,1429,77.2
Bullock,Democrat,Hillary Clinton,2451,74.3
Garrett,Republican,Donald Trump,3564,75.5
Kershaw,Democrat,Hillary Clinton,3743,76.1
Hopewell,Democrat,Hillary Clinton,1177,50.4
Vigo,Republican,Donald Trump,8539,63.9
Perry,Republican,Donald Trump,1461,76.7
Mitchell,Democrat,Hillary Clinton,1338,65.3
Wheatland,Republican,Donald Trump,380,71.5
Buncombe,Democrat,Bernie Sanders,30913,64.5
Jefferson,Republican,Donald Trump,17781,82.6
Louisa,Republican,Donald Trump,261,78.6
Bryan,Republican,Donald Trump,2214,70.2
Jefferson,Republican,Donald Trump,3077,72.6
Door,Democrat,Bernie Sanders,3417,78.2
Otsego,Democrat,Bernie Sanders,2623,73.3
Nez Perce,Republican,Ted Cruz,1583,69.3
Leslie,Republican,Donald Trump,503,77.8
Baldwin,Democrat,Hillary Clinton,3034,57.2
Nueces,Democrat,Hillary Clinton,15662,58.6
Laurel,Republican,Donald Trump,2313,71.3
McCracken,Democrat,Bernie Sanders,3541,68.1
Baldwin,Republican,Donald Trump,23618,72.6
Shasta,Republican,Donald Trump,14822,64.2
Fayette,Democrat,Hillary Clinton,525,77.6
Dodge,Republican,Donald Trump,2760,68.0
Charlotte,Republican,Donald Trump,16525,79.0
Radford,Democrat,Bernie Sanders,655,46.2
Gates,Democrat,Hillary Clinton,749,79.6
Floyd,Republican,Donald Trump,7456,71.8
McDowell,Democrat,Bernie Sanders,1453,77.4
Lenoir,Democrat,Hillary Clinton,4731,60.1
Douglas,Democrat,Bernie Sanders,2347,80.9
Payne,Democrat,Bernie Sanders,3829,50.9
Banks,Republican,Donald Trump,1806,77.3
Butler,Democrat,Hillary Clinton,2196,70.3
Mercer,Democrat,Hillary Clinton,29505,65.8
Effingham,Republican,Ted Cruz,3448,78.3
Laurens,Republican,Donald Trump,3088,65.7
Cumberland,Republican,Donald Trump,1081,80.8
Alpine,Democrat,Bernie Sanders,129,81.5
Carroll,Republican,Donald Trump,1268,76.5
Montgomery,Republican,Donald Trump,4412,72.2
Ada,Republican,Ted Cruz,20156,68.1
Roanoke City,Democrat,Hillary Clinton,4783,54.8
Clear Creek,Democrat,Bernie Sanders,199,81.3
Escambia,Republican,Donald Trump,2817,72.5
Delaware,Democrat,Hillary Clinton,44775,70.6
Estill,Democrat,Hillary Clinton,446,69.7
Sabine,Republican,Ted Cruz,728,76.6
Scotland,Republican,Donald Trump,395,78.9
Madison,Democrat,Hillary Clinton,1542,75.8
Martin,Republican,Donald Trump,586,66.0
Coffee,Republican,Donald Trump,4304,69.9
Van Buren,Republican,Ted Cruz,196,85.8
Putnam,Republican,Donald Trump,565,74.6
Nuckolls,Republican,Donald Trump,446,76.1
Tate,Republican,Ted Cruz,2034,74.5
Albany,Democrat,Bernie Sanders,20422,59.3
Lee,Republican,Donald Trump,51659,70.8
Stephens,Republican,Donald Trump,1726,74.7
Staunton,Democrat,Bernie Sanders,1364,57.7
Liberty,Democrat,Hillary Clinton,2783,51.1
Lafayette,Republican,Donald Trump,2518,74.5
Calhoun,Republican,Donald Trump,8960,68.7
Webster,Republican,Donald Trump,191,79.7
Knox,Republican,Donald Trump,4918,67.4
Jeff Davis,Democrat,Hillary Clinton,1806,78.8
Lake,Democrat,Hillary Clinton,43091,69.6
Caddo,Democrat,Hillary Clinton,16666,62.2
Prowers,Democrat,Hillary Clinton,40,65.8
Thomas,Republican,Donald Trump,2649,56.5
Gilmer,Republican,Donald Trump,3314,73.4
Talladega,Republican,Donald Trump,6304,71.2
Greene,Republican,Ted Cruz,26784,59.3
DeWitt,Republican,Donald Trump,1577,77.0
Lapeer,Republican,Donald Trump,7446,83.1
Summit,Democrat,Bernie Sanders,1645,74.4
Jackson,Democrat,Hillary Clinton,827,66.7
Greene,Republican,Donald Trump,2103,63.3
Clark,Democrat,Hillary Clinton,1650,63.5
Navajo,Democrat,Hillary Clinton,4415,72.0
Ste. Genevieve,Republican,Donald Trump,1080,82.2
Knott,Democrat,Bernie Sanders,1114,80.0
Brookings,Democrat,Hillary Clinton,955,58.0
Johnson,Republican,Donald Trump,1338,66.2
Pike,Republican,Donald Trump,511,73.1
Cascade,Republican,Donald Trump,8129,65.6
Brooks,Democrat,Hillary Clinton,1603,69.3
Cass,Republican,Donald Trump,2859,83.6
Newton,Republican,Donald Trump,1073,82.5
Kearney,Republican,Donald Trump,614,73.3
Howard,Republican,Donald Trump,8475,70.5
Montgomery,Democrat,Hillary Clinton,109304,67.3
Johnson,Republican,Donald Trump,684,78.9
Hot Springs,Democrat,Bernie Sanders,1,70.4
Cameron,Republican,Donald Trump,216,90.0
Lauderdale,Republican,Donald Trump,4740,66.1
Webster,Democrat,Hillary Clinton,866,68.5
Macon,Democrat,Hillary Clinton,4293,65.7
Idaho County,Republican,Donald Trump,1668,78.2
Marion,Republican,Ted Cruz,1011,75.8
Bartholomew,Republican,Donald Trump,7918,70.9
Fairfax,Democrat,Hillary Clinton,86898,69.0
Newton,Democrat,Hillary Clinton,7269,73.5
Campbell,Democrat,Hillary Clinton,3169,70.0
Adair,Republican,Donald Trump,1404,60.2
Alpena,Republican,Donald Trump,1885,77.6
Powder River,Republican,Donald Trump,516,69.9
La Crosse,Democrat,Bernie Sanders,15139,65.0
Halifax,Democrat,Hillary Clinton,6224,61.8
Crawford,Republican,Donald Trump,1108,82.1
Lucas,Republican,Ted Cruz,213,77.5
Glascock,Republican,Donald Trump,405,70.8
Escambia,Republican,Donald Trump,20856,64.1
Franklin,Democrat,Hillary Clinton,226,73.7
Bannock,Republican,Ted Cruz,4404,68.8
Wicomico,Republican,Donald Trump,6998,63.0
Jasper,Republican,Donald Trump,3903,79.6
Cuyahoga,Democrat,Hillary Clinton,125914,60.9
Mecklenburg,Democrat,Hillary Clinton,1588,73.4
Lyon,Democrat,Bernie Sanders,561,78.3
Hale,Democrat,Hillary Clinton,2426,78.0
Blaine,Republican,Donald Trump,465,65.4
Sequoyah,Democrat,Bernie Sanders,1872,71.5
Musselshell,Republican,Donald Trump,1032,78.5
Warren,Democrat,Hillary Clinton,3463,64.9
Schuyler,Republican,Donald Trump,428,71.0
Jefferson,Democrat,Hillary Clinton,1550,71.5
Daviess,Democrat,Bernie Sanders,5188,70.2
Cross,Republican,Donald Trump,972,65.4
Richland,Republican,Donald Trump,1469,74.9
Lewis,Republican,Donald Trump,286,74.1
Maricopa,Republican,Donald Trump,144522,62.5
Zapata,Democrat,Hillary Clinton,1969,79.1
Harmon,Democrat,Bernie Sanders,167,65.0
Nodaway,Republican,Donald Trump,1268,55.9
Deer Lodge,Democrat,Hillary Clinton,986,72.7
Treasure,Republican,Donald Trump,143,70.2
Knox,Republican,Donald Trump,642,72.6
Dallas,Democrat,Hillary Clinton,693,66.4
Clarke,Democrat,Hillary Clinton,3148,72.9
Danville,Democrat,Hillary Clinton,2676,54.4
Marshall,Democrat,Hillary Clinton,3361,79.5
Isabella,Democrat,Bernie Sanders,4024,58.7
Scott,Democrat,Hillary Clinton,2013,75.7
Gallatin,Republican,Donald Trump,8313,61.8
Ouachita,Democrat,Hillary Clinton,2095,66.3
Powell,Republican,Donald Trump,818,71.5
Sheridan,Democrat,Hillary Clinton,7,69.3
Clinch,Republican,Donald Trump,412,68.7
Manhattan,Democrat,Hillary Clinton,177496,22.8
Dixie,Republican,Donald Trump,1103,78.5
Mackinac,Republican,Donald Trump,856,76.8
Gloucester,Democrat,Hillary Clinton,17954,80.3
Worth,Republican,Donald Trump,224,76.3
Hall,Republican,Donald Trump,12536,67.8
Missaukee,Republican,Donald Trump,1221,80.8
Suwannee,Republican,Donald Trump,2844,72.2
Person,Democrat,Hillary Clinton,2954,71.9
Clark,Republican,Donald Trump,545,76.8
Sebastian,Republican,Donald Trump,6030,62.8
Starr,Democrat,Hillary Clinton,6918,78.3
Nelson,Democrat,Hillary Clinton,2395,75.4
Kosciusko,Republican,Donald Trump,8748,77.7
Greene,Democrat,Hillary Clinton,2714,73.2
Pike,Republican,Donald Trump,1649,83.1
Keweenaw,Democrat,Bernie Sanders,188,85.9
Union,Republican,Donald Trump,1332,75.7
Nevada,Democrat,Bernie Sanders,8472,72.6
Jasper,Democrat,Hillary Clinton,1976,79.3
Gooding,Republican,Ted Cruz,863,70.5
Carroll,Republican,Donald Trump,1004,80.3
Delaware,Republican,Donald Trump,8793,63.8
Hickman,Democrat,Bernie Sanders,300,79.4
Sussex,Democrat,Hillary Clinton,958,70.2
Jefferson,Democrat,Hillary Clinton,67357,64.7
Martin,Republican,Donald Trump,16065,76.2
Morgan,Democrat,Bernie Sanders,988,75.3
Wilkinson,Democrat,Hillary Clinton,1269,77.5
Teton,Democrat,Bernie Sanders,9,59.1
Polk,Republican,Ted Cruz,3430,68.2
Fulton,Democrat,Bernie Sanders,2537,75.5
Broome,Democrat,Bernie Sanders,9176,66.5
Caroline,Republican,Donald Trump,2521,72.3
Wilson,Democrat,Hillary Clinton,6408,60.9
Benton,Democrat,Hillary Clinton,557,81.7
Stillwater,Republican,Donald Trump,1658,79.9
Franklin,Republican,Donald Trump,2155,69.5
Hempstead,Republican,Ted Cruz,917,68.0
Lunenburg,Democrat,Hillary Clinton,738,75.3
Clay,Democrat,Hillary Clinton,2372,71.3
Leon,Democrat,Hillary Clinton,27333,53.8
Dorchester,Republican,Donald Trump,2744,65.9
Seminole,Republican,Donald Trump,754,77.0
Washington,Democrat,Hillary Clinton,9110,55.9
Hamilton,Democrat,Hillary Clinton,353,71.0
Fallon,Republican,Donald Trump,734,72.0
Howard,Democrat,Bernie Sanders,215,79.8
San Benito,Democrat,Hillary Clinton,2022,61.6
Baca,Democrat,Hillary Clinton,15,74.4
Sarasota,Republican,Donald Trump,34593,74.5
Summers,Democrat,Bernie Sanders,1060,79.6
Leelanau,Democrat,Bernie Sanders,2359,85.1
Benewah,Republican,Ted Cruz,671,75.2
Boone,Republican,Donald Trump,2577,72.6
Evans,Republican,Donald Trump,481,63.7
Douglas,Democrat,Hillary Clinton,9375,69.8
Drew,Democrat,Hillary Clinton,1250,61.2
San Juan,Democrat,Bernie Sanders,27,59.8
Arapahoe,Democrat,Bernie Sanders,6086,62.7
Lawrence,Republican,Donald Trump,1326,78.1
Montgomery,Democrat,Bernie Sanders,1322,65.3
Carroll,Republican,Ted Cruz,0,73.2
Barrow,Republican,Donald Trump,4653,78.2
Hudspeth,Democrat,Hillary Clinton,147,82.3
Richland,Democrat,Hillary Clinton,39243,60.7
Portage,Democrat,Bernie Sanders,9348,68.6
Montgomery,Democrat,Hillary Clinton,75333,73.2
Platte,Democrat,Bernie Sanders,2,78.3
Douglas,Democrat,Bernie Sanders,4510,67.8
Roger Mills,Democrat,Bernie Sanders,268,78.8
Petroleum,Republican,Donald Trump,167,76.0
Coconino,Democrat,Bernie Sanders,6941,59.5
Wibaux,Republican,Donald Trump,231,70.9
Murray,Democrat,Bernie Sanders,909,73.3
George,Republican,Donald Trump,2245,84.2
Okeechobee,Republican,Donald Trump,2202,73.9
Pondera,Republican,Donald Trump,930,69.1
Kit Carson,Democrat,Bernie Sanders,16,65.8
Calhoun,Republican,Donald Trump,1323,70.5
Smith,Republican,Donald Trump,1820,83.3
Johnson,Democrat,Bernie Sanders,1,74.1
Bonner,Republican,Ted Cruz,3132,73.1
Holmes,Democrat,Hillary Clinton,3301,71.0
Carroll,Democrat,Hillary Clinton,504,75.4
Butler,Republican,Donald Trump,910,75.9
Owen,Republican,Donald Trump,2679,78.7
Edgar,Republican,Donald Trump,1562,73.4
Tazewell,Republican,Ted Cruz,12085,76.0
Choctaw,Democrat,Bernie Sanders,745,73.6
Huerfano,Democrat,Bernie Sanders,150,72.5
Merced,Democrat,Hillary Clinton,7169,53.6
Grundy,Republican,Donald Trump,978,72.3
Carroll,Republican,Donald Trump,1133,83.2
King and Queen,Democrat,Hillary Clinton,477,76.2
Beaverhead,Republican,Donald Trump,1626,64.1
Marshall,Democrat,Bernie Sanders,2308,82.3
East Feliciana,Democrat,Hillary Clinton,1847,79.9
Winneshiek,Democrat,Bernie Sanders,616,77.3
Miller,Republican,Donald Trump,2482,77.1
Apache,Democrat,Hillary Clinton,4450,76.5
Chattahoochee,Democrat,Hillary Clinton,182,28.8
Franklin,Democrat,Hillary Clinton,665,69.7
Quitman,Democrat,Hillary Clinton,986,68.6
Alachua,Democrat,Hillary Clinton,17733,54.1
Muskegon,Democrat,Bernie Sanders,10062,74.4
Nevada,Democrat,Hillary Clinton,647,73.1
Tishomingo,Republican,Donald Trump,1854,75.9
Jasper,Democrat,Hillary Clinton,2194,71.0
Lawrence,Democrat,Bernie Sanders,659,76.0
Sussex,Republican,Donald Trump,17794,79.0
Noxubee,Democrat,Hillary Clinton,1397,71.8
Nowata,Democrat,Bernie Sanders,530,81.2
Grand,Democrat,Bernie Sanders,187,74.9
Banner,Republican,Donald Trump,108,63.6
Grundy,Republican,Donald Trump,3625,76.2
Sumter,Democrat,Hillary Clinton,9816,65.4
DeKalb,Republican,Donald Trump,6247,76.3
Beaver,Democrat,Hillary Clinton,12963,73.4
Yuba,Republican,Donald Trump,3210,59.1
Talbot,Republican,Donald Trump,3104,72.5
Terrell,Democrat,Hillary Clinton,804,63.4
Adams,Republican,Donald Trump,2798,69.8
Winn,Democrat,Hillary Clinton,488,72.9
Delaware,Democrat,Hillary Clinton,440,78.8
Park,Republican,Donald Trump,1901,75.1
Latah,Republican,Ted Cruz,2134,56.7
Caribou,Republican,Ted Cruz,602,84.1
Lowndes,Republican,Donald Trump,5194,53.9
Lincoln,Democrat,Bernie Sanders,3,82.8
Telfair,Republican,Donald Trump,626,64.8
Rankin,Republican,Donald Trump,13729,75.5
Brown,Republican,Donald Trump,502,78.2
Gila,Republican,Donald Trump,3065,75.8
Box Butte,Republican,Donald Trump,1188,65.9
Iosco,Republican,Donald Trump,1973,81.3
Saint Francis,Democrat,Hillary Clinton,1912,55.3
Butte,Republican,Donald Trump,15695,60.1
Simpson,Republican,Donald Trump,2420,76.0
Osage,Democrat,Hillary Clinton,2390,79.0
Cape Girardeau,Republican,Ted Cruz,7332,66.5
Brown,Republican,Donald Trump,555,69.5
Johnson,Republican,Donald Trump,17218,72.6
Williamson,Republican,Donald Trump,4929,72.0
Oldham,Democrat,Hillary Clinton,2730,84.8
Reynolds,Republican,Donald Trump,647,77.6
Piatt,Republican,Ted Cruz,1855,82.4
Converse,Democrat,Bernie Sanders,3,76.2
Green,Republican,Donald Trump,655,76.7
Rockcastle,Republican,Donald Trump,743,78.3
Wayne,Republican,Donald Trump,6116,66.8
LaSalle,Republican,Donald Trump,6950,75.8
Washington,Democrat,Hillary Clinton,601,82.9
Milwaukee,Democrat,Hillary Clinton,100932,51.3
Sheridan,Democrat,Bernie Sanders,7,69.3
Union,Republican,Donald Trump,2691,78.3
Reeves,Democrat,Hillary Clinton,1128,75.0
Union,Democrat,Bernie Sanders,268,73.2
Schuyler,Republican,Donald Trump,697,81.0
Effingham,Republican,Donald Trump,3648,76.6
Ohio,Republican,Donald Trump,786,74.4
Hoke,Democrat,Hillary Clinton,3528,67.9
Cleveland,Republican,Ted Cruz,550,77.5
Johnson,Republican,Donald Trump,326,74.0
Yazoo,Democrat,Hillary Clinton,2203,60.0
Sierra,Republican,Donald Trump,497,77.8
Berkeley,Democrat,Hillary Clinton,9471,70.3
Cole,Republican,Ted Cruz,6159,66.8
Green,Democrat,Bernie Sanders,4359,75.2
Ionia,Democrat,Bernie Sanders,2812,78.2
Washington,Democrat,Hillary Clinton,1511,86.5
Columbia,Democrat,Bernie Sanders,4221,73.9
Christian,Democrat,Hillary Clinton,2437,52.5
Calhoun,Democrat,Bernie Sanders,5810,69.7
Beaufort,Democrat,Hillary Clinton,9945,71.4
Comanche,Democrat,Bernie Sanders,3804,56.6
San Luis Obispo,Republican,Donald Trump,19313,58.4
Lake,Republican,Donald Trump,803,81.3
Lawrence,Republican,Donald Trump,5971,78.3
Napa,Democrat,Hillary Clinton,7370,60.6
Ascension,Democrat,Hillary Clinton,4221,81.6
Pike,Democrat,Hillary Clinton,2870,70.1
Washington,Republican,Ted Cruz,542,75.7
Hinsdale,Democrat,Bernie Sanders,10,78.9
Dakota,Republican,Donald Trump,819,64.4
Luce,Republican,Donald Trump,407,75.1
Jackson,Democrat,Bernie Sanders,1845,73.8
Swain,Democrat,Bernie Sanders,831,74.9
Santa Cruz,Democrat,Bernie Sanders,25171,58.8
Whitley,Republican,Ted Cruz,4064,81.7
Winnebago,Democrat,Bernie Sanders,16715,66.9
Bibb,Democrat,Hillary Clinton,12944,54.4
Jackson,Democrat,Bernie Sanders,4656,53.4
Screven,Republican,Donald Trump,801,70.8
Gibson,Republican,Donald Trump,4237,77.8
Duplin,Democrat,Hillary Clinton,3036,67.7
Prince Edward,Democrat,Hillary Clinton,1366,65.2
Grant,Republican,Donald Trump,162,66.3
Towns,Republican,Donald Trump,1356,84.8
Clay,Democrat,Hillary Clinton,960,72.6
Lewis,Republican,Donald Trump,801,74.2
Sharp,Republican,Donald Trump,1241,80.0
Abbeville,Democrat,Hillary Clinton,1501,76.4
Placer,Republican,Donald Trump,25700,70.6
Crook,Democrat,Hillary Clinton,1,77.4
Scott,Republican,Donald Trump,3373,69.2
Jay,Republican,Donald Trump,2194,76.0
Osage,Republican,Donald Trump,1316,82.2
Marquette,Democrat,Bernie Sanders,5530,70.2
Wells,Republican,Ted Cruz,3826,78.3
Newton,Republican,Donald Trump,1814,76.6
Fulton,Republican,Donald Trump,2556,76.5
McIntosh,Republican,Donald Trump,1078,81.5
Peach,Democrat,Hillary Clinton,1675,66.6
Lake,Republican,Donald Trump,26393,75.3
Albany,Democrat,Bernie Sanders,25,51.3
Clay,Democrat,Hillary Clinton,623,55.8
Union,Democrat,Hillary Clinton,1690,73.1
Nemaha,Republican,Donald Trump,472,68.3
Cleburne,Republican,Donald Trump,2530,76.9
Culberson,Democrat,Hillary Clinton,355,63.4
Keith,Republican,Donald Trump,1253,70.0
Pulaski,Republican,Donald Trump,2821,71.7
Blackford,Republican,Donald Trump,1019,75.0
Lincoln,Democrat,Bernie Sanders,1510,78.7
Hancock,Republican,Ted Cruz,385,80.1
Trigg,Democrat,Bernie Sanders,715,81.2
Lee,Republican,Donald Trump,273,73.4
Morgan,Republican,Donald Trump,2378,69.9
Jefferson,Republican,Donald Trump,533,78.2
Franklin,Republican,Ted Cruz,1187,80.9
Miller,Republican,Ted Cruz,2741,67.2
Ogemaw,Republican,Donald Trump,1612,82.8
Jasper,Republican,Ted Cruz,928,84.0
Winston,Republican,Donald Trump,3352,74.9
Maui,Democrat,Bernie Sanders,4419,58.1
DeKalb,Republican,Donald Trump,4203,78.7
Oconee,Republican,Donald Trump,2871,78.9
Baxter,Republican,Donald Trump,3798,76.5
Mercer,Republican,Ted Cruz,1073,78.7
Graves,Democrat,Bernie Sanders,2631,76.2
Clinton,Republican,Donald Trump,2522,82.4
Pecos,Democrat,Hillary Clinton,816,65.4
Calloway,Democrat,Bernie Sanders,2239,65.6
Bell,Republican,Donald Trump,692,67.7
Fayette,Democrat,Hillary Clinton,20014,55.2
Candler,Republican,Donald Trump,897,64.0
Pike,Republican,Donald Trump,1241,74.1
Floyd,Democrat,Hillary Clinton,453,72.9
Kane,Democrat,Bernie Sanders,31085,75.4
Mono,Democrat,Bernie Sanders,917,55.6
Hamilton,Republican,Donald Trump,1030,77.6
Hart,Republican,Donald Trump,1858,73.7
Columbus,Democrat,Hillary Clinton,3628,71.5
Chatham,Democrat,Hillary Clinton,19898,57.5
Union,Republican,Donald Trump,719,66.5
Adams,Democrat,Hillary Clinton,113,78.5
Nassau,Republican,Donald Trump,9192,78.4
Rush,Republican,Donald Trump,2362,71.9
Tangipahoa,Democrat,Hillary Clinton,4267,68.6
Boyd,Democrat,Bernie Sanders,2262,68.8
Yuma,Republican,Donald Trump,4390,69.6
Jefferson,Democrat,Hillary Clinton,16580,64.1
Bulloch,Republican,Donald Trump,3111,50.9
Allamakee,Democrat,Hillary Clinton,304,79.5
Philadelphia,Democrat,Hillary Clinton,212785,53.3
Baltimore City,Democrat,Hillary Clinton,81115,48.3
Echols,Republican,Donald Trump,268,62.7
Daviess,Republican,Donald Trump,634,76.3
Walker,Republican,Donald Trump,4208,72.6
Trinity,Republican,Donald Trump,1026,71.2
Anne Arundel,Democrat,Hillary Clinton,35659,74.2
Northampton,Democrat,Hillary Clinton,868,68.6
Richland,Democrat,Hillary Clinton,696,68.8
Choctaw,Republican,Donald Trump,765,71.4
Houghton,Democrat,Bernie Sanders,2039,69.6
Prairie,Democrat,Hillary Clinton,558,72.9
Phillips,Democrat,Hillary Clinton,2696,54.5
Benzie,Democrat,Bernie Sanders,1650,83.9
Madison,Republican,Ted Cruz,452,76.8
Buena Vista,Republican,Ted Cruz,309,68.0
Starke,Republican,Donald Trump,2456,81.1
Kenosha,Democrat,Bernie Sanders,14612,67.5
Greenup,Democrat,Bernie Sanders,1655,76.4
Mahoning,Democrat,Hillary Clinton,21000,69.8
Meriwether,Democrat,Hillary Clinton,1463,69.9
Edmonson,Republican,Donald Trump,531,76.5
Simpson,Democrat,Hillary Clinton,708,66.2
Vernon,Republican,Donald Trump,1119,54.7
Chippewa,Republican,Donald Trump,1959,70.3
Miami,Republican,Donald Trump,3286,75.3
Shelby,Republican,Donald Trump,5044,71.1
Audrain,Republican,Ted Cruz,1642,74.2
McLean,Republican,Ted Cruz,13085,67.3
Huron,Republican,Donald Trump,2346,81.6
Vermilion,Republican,Donald Trump,1460,75.2
Pawnee,Democrat,Bernie Sanders,762,76.5
Madison,Republican,Donald Trump,23791,69.3
Bladen,Democrat,Hillary Clinton,3442,67.8
Dubuque,Democrat,Hillary Clinton,2504,73.0
O'Brien,Republican,Ted Cruz,347,74.9
Graham,Republican,Ted Cruz,1606,74.3
Natrona,Democrat,Hillary Clinton,20,69.7
Chesapeake,Democrat,Hillary Clinton,16126,72.5
Essex,Democrat,Hillary Clinton,75071,45.9
Greene,Democrat,Hillary Clinton,215,76.0
Benton,Republican,Donald Trump,2278,84.0
Hot Spring,Republican,Donald Trump,1597,72.5
Tippah,Republican,Donald Trump,1951,76.5
Saline,Republican,Donald Trump,2102,72.2
Clay,Republican,Donald Trump,1920,75.0
Woodruff,Democrat,Hillary Clinton,862,62.9
Howard,Republican,Donald Trump,559,63.3
Elbert,Republican,Donald Trump,1394,68.4
Santa Barbara,Democrat,Hillary Clinton,23543,52.6
McIntosh,Democrat,Bernie Sanders,1261,79.8
Washington,Republican,Donald Trump,3156,80.3
Jasper,Republican,Ted Cruz,11113,64.5
